"S_ID","PREF_CLASS_YEAR","BUS_EMPLOYER_NAME1","BUS_JOB_TITLE","BUS_FIELD_OF_WORK_CODE","BUS_FIELD_OF_WORK_DESC","BUS_STATE","BUS_DATE_MODIFIED"
"S202361","2006"," "," "," "," "," ",
"S202366","2006"," "," "," "," "," ",
"S202367","2006"," "," "," "," "," ",
"S202368","2006"," "," "," "," "," ",
"S202370","2006","Mass.Exec.Office Health/Human Svcs"," ","1320","Law"," ",06-JUL-12
"S202372","2006","Northern Trust","Second Vice President","1060","Banking","CT",20-JAN-11
"S202373","2006","Japan Society","Office Manager","1425","Non-Profit Adminstration"," ",03-FEB-09
"S202374","2006"," "," "," "," "," ",
"S202375","2006","MIT","Postdoctoral Associate-Astrophysics","1500","Research,Scientific"," ",22-FEB-12
"S202376","2006"," "," "," "," "," ",
"S202377","2006","Johns Hopkins Sch.Adv.Int'l Studies","Grad.Student-MA Int'l Dev/Economics","1230","Graduate Studies"," ",21-DEC-10
"S202379","2006"," "," "," "," "," ",
"S202380","2006"," "," "," "," "," ",
"S202381","2006","AED","Program Officer-A2Z Project","1610","Other"," ",10-DEC-10
"S202382","2006","My Gym","Coach","1130","Education (Elementary)"," ",25-JAN-11
"S202383","2006"," "," "," "," "," ",
"S202384","2006"," "," "," "," "," ",
"S202387","2006","MIT Lincoln Laboratory","Assistant Staff","1170","Engineering","MA",12-NOV-09
"S202388","2006","Employer Unknown","Professional Golf","1540","Sports"," ",20-APR-10
"S202390","2006"," "," "," "," "," ",
"S202391","2006","Windham High School","Substitute Teacher"," "," "," ",12-OCT-06
"S202392","2006"," "," "," "," "," ",
"S202393","2006","Apple Ridge Montessori School","Teacher","1130","Education (Elementary)","MD",01-FEB-12
"S202394","2006"," "," "," "," "," ",
"S202395","2006","University of New Hampshire","Biology Research-Grad.Student PhD","1230","Graduate Studies"," ",20-JUL-12
"S202396","2006"," "," "," "," "," ",
"S202397","2006"," "," "," "," "," ",
"S202398","2006","McCormick & O'Brien","Associate","1320","Law","NY",16-OCT-12
"S202399","2006","Solipsist Films","Creative Executive","1180","Entertainment"," ",11-NOV-10
"S202400","2006"," "," "," "," "," ",
"S202402","2006"," "," "," "," "," ",
"S202403","2006","Abercrombie & Fitch","Assoc. Communications Coordinator","1380","Merchandising/Retail","OH",29-SEP-11
"S202404","2006"," "," "," "," "," ",
"S202405","2006"," "," "," "," "," ",
"S202407","2006"," "," "," "," "," ",
"S202408","2006","University of Washington","PhD Student","1230","Graduate Studies"," ",17-DEC-09
"S202409","2006","New York University","Psychiatry Resident","1370","Medicine"," ",09-DEC-11
"S202410","2006"," "," "," "," "," ",
"S202413","2006"," "," "," "," "," ",
"S202414","2006"," "," "," "," "," ",
"S202416","2006","Taylor Asset Management","Analyst","1200","Finance","IL",11-MAY-11
"S202419","2006","Deloitte Consulting LLP","Consultant","1120","Consulting","MA",27-AUG-10
"S202421","2006"," "," "," "," "," ",
"S202423","2006","Ohio State University","Medical Student","1230","Graduate Studies"," ",26-SEP-07
"S202424","2006","Madeira School","Assistant Athletic Director","1140","Education (Secondary)"," ",12-OCT-11
"S202425","2006","LegalZoom"," ","1610","Other"," ",21-NOV-12
"S202426","2006"," "," "," "," "," ",
"S202427","2006"," "," "," "," "," ",
"S202428","2006"," "," "," "," "," ",
"S202430","2006","Hyde Park Culinary School","Graduate Student","1230","Graduate Studies"," ",05-MAR-08
"S202431","2006","City Bikes","Co-owner","1080","Business","OR",27-JAN-11
"S202432","2006"," "," "," "," "," ",
"S202433","2006","Children's Crisis Treatment Center"," "," "," ","PA",26-MAR-07
"S202434","2006"," "," "," "," "," ",
"S202435","2006"," "," "," "," "," ",
"S202436","2006","Dissent Magazine"," ","1460","Publishing","NY",07-NOV-07
"S202437","2006","Erie's Edge Farm","Urban Farmer","1030","Agriculture","OH",11-OCT-11
"S202438","2006"," "," "," "," "," ",
"S202441","2006"," "," "," "," "," ",
"S202442","2006","Montgomery Brothers","Analyst","1610","Other"," ",16-FEB-11
"S202443","2006","Employer Unknown","Medical Resident","1370","Medicine"," ",29-APR-11
"S202448","2006","University of California-San Diego","Graduate Student-PhD Archaeology","1230","Graduate Studies"," ",12-OCT-06
"S202451","2006","No Employer"," ","1140","Education (Secondary)"," ",08-JUN-10
"S202452","2006"," "," "," "," "," ",
"S202453","2006","The New School, NYC","Graduate Student","1230","Graduate Studies"," ",27-AUG-12
"S202455","2006","Commonwealth Shakespeare Co.","General Manager","1435","Performing Arts","MA",01-DEC-10
"S202456","2006","Ocean Castle LP","Partner","1480","Real Estate","MA",17-DEC-09
"S202459","2006","Girls on the Run of the Bay Area","Program Manager","1425","Non-Profit Adminstration","CA",25-JAN-10
"S202460","2006","Cline Davis and Mann","Media Co-ordinator","1020","Advertising","NY",27-APR-07
"S202462","2006"," "," "," "," "," ",
"S202463","2006","Access Industries"," "," "," "," ",26-OCT-06
"S202465","2006","Kent School","History Teacher","1140","Education (Secondary)","CT",20-JUN-11
"S202466","2006"," "," "," "," "," ",
"S202467","2006"," "," "," "," "," ",
"S202485","2006","Agnes Scott College","Swim Instructor"," "," ","GA",26-MAR-07
"S202492","2006","JPMorgan"," ","1200","Finance"," ",17-OCT-11
"S202532","2006"," "," "," "," "," ",
"S203415","2006","Beaver Creek","Snowboard Instructor","1610","Other"," ",11-NOV-09
"S203466","2006"," "," "," "," "," ",
"S203468","2006","Invenergy","Business Development Manager","1080","Business"," ",03-MAY-10
"S203469","2006"," "," "," "," "," ",
"S203470","2006","Employer Unknown","Paralegal","1320","Law","OH",03-APR-07
"S203483","2006"," "," "," "," "," ",
"S203484","2006","Nationwide Children's Hospital","Clinical Psychology Post Doc.Fellow","1450","Psychology/Counseling/Therapy","OH",26-JUN-12
"S203485","2006","Mayo Clinic","Doctor","1370","Medicine"," ",08-JUN-12
"S203491","2006","Villanova University School of Law","Law Student","1230","Graduate Studies"," ",14-NOV-08
"S203497","2006","N. Y. State Trial Lawyers Assoc.","Deputy Political Director","1320","Law","NY",17-OCT-08
"S203507","2006","Hebei Province Sports Association","Head Tennis Coach","1540","Sports"," ",19-AUG-11
"S203510","2006","UCSF School of Dentistry","Graduate Student","1230","Graduate Studies","CA",03-FEB-09
"S204479","2006","Axelsoft"," ","1610","Other"," ",12-FEB-10
"S204501","2006","New York University","Graduate Student","1230","Graduate Studies"," ",27-APR-10
"S204506","2006"," "," "," "," "," ",
"S204507","2006"," "," "," "," "," ",
"S930488","2006","Children's Mercy Hospital","Nurse","1430","Nursing"," ",15-FEB-11
"S990212","2006"," "," "," "," "," ",
"S201241","2007"," "," "," "," "," ",
"S201371","2007"," "," "," "," "," ",
"S202032","2007","Wieden & Kennedy","Art Director Intern","1610","Other","OR",14-SEP-12
"S202054","2007","Ohio Univ. Col. of Osteopathic Med.","Medical Student","1230","Graduate Studies"," ",22-MAR-11
"S202110","2007"," "," "," "," "," ",
"S202170","2007","Newark Academy","Middle School English Teacher","1140","Education (Secondary)","NJ",29-OCT-10
"S202202","2007","Wimmer Solutions","Consultant","1120","Consulting","WA",12-APR-10
"S202204","2007"," "," "," "," "," ",
"S202320","2007","Wyoming Public Radio","Reporter & Anchor","1310","Journalism"," ",16-AUG-11
"S202322","2007","The Strand Bookstore","Sales Associate","1510","Sales"," ",03-MAR-10
"S202371","2007"," "," "," "," "," ",
"S202401","2007","S. New Mexico Family Med. Residency","Resident Physician","1370","Medicine","NM",22-OCT-12
"S202440","2007"," "," "," "," "," ",
"S202454","2007"," "," "," "," "," ",
"S203001","2007"," "," "," "," "," ",
"S203002","2007"," "," "," "," "," ",
"S203003","2007","Clark University","Graduate Student-History","1230","Graduate Studies"," ",01-DEC-09
"S203004","2007"," "," "," "," "," ",
"S203005","2007"," "," "," "," "," ",
"S203006","2007"," "," "," "," "," ",
"S203007","2007","Kaplan Thaler Group","Account Supervisor","1020","Advertising"," ",18-OCT-10
"S203008","2007","Self Employed","Hair Stylist and Singer/Songwriter","1610","Other"," ",17-APR-12
"S203009","2007","Mekanism","Office Manager","1610","Other"," ",08-DEC-09
"S203010","2007"," "," "," "," "," ",
"S203011","2007","Drexel University","Physical Therapist","1250","Health Care"," ",06-MAY-11
"S203012","2007"," "," "," "," "," ",
"S203013","2007"," "," "," "," "," ",
"S203014","2007","Cleveland Clinic","Internal Medicine Resident","1370","Medicine"," ",27-SEP-11
"S203015","2007"," "," "," "," "," ",
"S203016","2007","Univ. of North Carolina-Schl. Med.","Medical Student","1230","Graduate Studies","NC",09-NOV-07
"S203017","2007","Drexel Univ. College of Medicine","Medical Student","1230","Graduate Studies"," ",22-MAR-11
"S203018","2007","Perrigo","Chemist","1500","Research,Scientific","MI",27-SEP-11
"S203019","2007"," "," "," "," "," ",
"S203021","2007"," "," "," "," "," ",
"S203022","2007","UVEI","Grad. Student-MA Spanish Education","1230","Graduate Studies"," ",27-JAN-12
"S203023","2007","Japan Exchange & Teaching Prog."," ","1610","Other"," ",17-OCT-07
"S203024","2007","Christie's","Specialist, Am. Decorative Arts","1510","Sales","NY",30-MAY-08
"S203025","2007"," "," "," "," "," ",
"S203026","2007","Threepsot","Web Design","1090","Computer","DC",14-NOV-12
"S203030","2007"," "," "," "," "," ",
"S203031","2007","University of Tennessee","Law Student","1230","Graduate Studies"," ",08-OCT-09
"S203032","2007","University of Miami School of Law","Graduate Student","1230","Graduate Studies"," ",01-MAR-12
"S203033","2007","National Journal","Editorial Booker-Atlantic/Natl Jrnl","1100","Communications","DC",31-AUG-10
"S203034","2007","Charleston Regional Bus. Journal","Staff Photographer","1440","Photography","SC",19-FEB-08
"S203035","2007","Bedford Cheese Shop","Cheesemonger","1610","Other","NY",21-OCT-09
"S203036","2007"," "," "," "," "," ",
"S203037","2007"," "," "," "," "," ",
"S203038","2007","University of Southampton","Graduate Student-MPhil/PhD","1230","Graduate Studies"," ",04-DEC-12
"S203039","2007","Rose Medical Center","Registered Nurse/Medical Oncology","1430","Nursing","CO",03-APR-09
"S203040","2007"," "," "," "," "," ",
"S203041","2007"," "," "," "," "," ",
"S203042","2007","Tulane University","Grad. Student- PhD Candidate","1230","Graduate Studies","LA",23-APR-10
"S203043","2007","University of Chicago","Graduate Student","1230","Graduate Studies"," ",31-JAN-11
"S203044","2007","D. W. Norris Company","Paralegal","1320","Law"," ",23-FEB-10
"S203045","2007"," "," "," "," "," ",
"S203046","2007"," "," "," "," "," ",
"S203047","2007","Citizens for Scott Lee Cohen","Campaign Coordinator","1425","Non-Profit Adminstration","IL",12-JUL-10
"S203048","2007","Direct Impact","Senior Associate/Project Manager","1100","Communications"," ",31-JUL-12
"S203050","2007"," "," "," "," "," ",
"S203052","2007","Yale University","Graduate Studies","1250","Health Care"," ",16-AUG-12
"S203054","2007"," "," "," "," "," ",
"S203055","2007","UNC Kenan-Flagler Business School","MBA Candidate","1200","Finance","NC",26-AUG-11
"S203057","2007","Human Rights First","International Legal Fellow","1320","Law","NY",17-FEB-12
"S203058","2007"," "," "," "," "," ",
"S203059","2007"," "," "," "," "," ",
"S203061","2007","Wayne Mutual Insurance Co.","Associate Attorney/Law Clerk","1320","Law","OH",17-AUG-12
"S203062","2007","Cleveland Clinic","Physical Therapist","1250","Health Care","OH",26-SEP-12
"S203065","2007"," "," "," "," "," ",
"S203066","2007"," "," "," "," "," ",
"S203067","2007","University of BC, Vancouver","Grad. Student-MA Ethnomusicology","1230","Graduate Studies"," ",11-OCT-10
"S203068","2007","Self Employed","Musician","1420","Music"," ",01-MAR-12
"S203070","2007","Roosevelt Institute"," ","1610","Other","NY",15-AUG-12
"S203071","2007","Eckerd Youth Alternatives","Crisis Manager","1530","Social Work/Human Services","NH",06-NOV-08
"S203072","2007","Johns Hopkins University","Graduate Student-Public Policy","1230","Graduate Studies"," ",27-SEP-10
"S203073","2007"," "," "," "," "," ",
"S203074","2007"," "," "," "," "," ",
"S203075","2007"," "," "," "," "," ",
"S203077","2007","Fleishman-Hillard","Managing Supervisor","1470","Public Relations","NC",31-MAR-10
"S203080","2007","First Access LLC","Co-Founder & Executive Director","1200","Finance","NY",13-NOV-12
"S203081","2007"," "," "," "," "," ",
"S203082","2007"," "," "," "," "," ",
"S203083","2007"," "," "," "," "," ",
"S203084","2007","Phillips Beth Israel Sch.of Nursing","Student Nurse","1430","Nursing"," ",09-MAY-11
"S203085","2007","Spot Trading LLC","Equity Analyst","1060","Banking","IL",02-JUL-09
"S203086","2007","Employer Unknown","Clinical Nurse","1430","Nursing"," ",17-FEB-12
"S203087","2007","Arnold & Porter LLP","Legal Marketing","1320","Law","DC",18-NOV-08
"S203088","2007"," "," "," "," "," ",
"S203089","2007"," "," "," "," "," ",
"S203090","2007"," "," "," "," "," ",
"S203091","2007","Opera Boston","Artistic Associate","1180","Entertainment","MA",03-SEP-08
"S203092","2007","Emory University","Graduate Student","1230","Graduate Studies","GA",02-JUL-10
"S203093","2007","Honeywell Technology Solutions Inc.","Information Assurance Analyst","1090","Computer"," ",25-AUG-11
"S203094","2007"," "," "," "," "," ",
"S203095","2007","Univ.of San Francisco School of Law","Student","1230","Graduate Studies"," ",29-JAN-09
"S203097","2007"," "," "," "," "," ",
"S203099","2007"," "," "," "," "," ",
"S203101","2007","Criteo","Director, Business Development","1080","Business"," ",31-OCT-12
"S203102","2007","Northeastern University Law Sch.","Graduate Student","1230","Graduate Studies","MA",01-MAR-12
"S203103","2007","Booz Allen Hamilton","Senior Consultant","1120","Consulting"," ",21-JAN-10
"S203104","2007","Cincinnati State","Graduate Student","1230","Graduate Studies"," ",05-OCT-09
"S203105","2007"," "," "," "," "," ",
"S203106","2007","Roger Williams University","Law Student","1230","Graduate Studies"," ",16-APR-10
"S203108","2007","Summit Rock Advisors","Investment Associate","1300","Investment/Securities","NY",17-OCT-11
"S203109","2007"," "," "," "," "," ",
"S203110","2007"," "," "," "," "," ",
"S203111","2007"," "," "," "," "," ",
"S203112","2007","Duke University","Graduate Student","1230","Graduate Studies"," ",28-APR-10
"S203113","2007"," "," "," "," "," ",
"S203115","2007","Morgan Stanley","Associate","1200","Finance","NY",07-NOV-11
"S203116","2007"," "," "," "," "," ",
"S203117","2007"," "," "," "," "," ",
"S203118","2007"," "," "," "," "," ",
"S203119","2007"," "," "," "," "," ",
"S203120","2007"," "," "," "," "," ",
"S203121","2007"," "," "," "," "," ",
"S203122","2007","Employer Unknown","Attorney","1320","Law"," ",18-NOV-11
"S203123","2007","Self Employed","Freelance Writer","1580","Writing"," ",22-MAR-11
"S203124","2007","School Unknown","Graduate Student","1230","Graduate Studies"," ",25-JAN-11
"S203125","2007","Lewis and Clark","Graduate Student","1230","Graduate Studies","OR",05-OCT-12
"S203126","2007","Mahoney & Jeffrey PLLC","Associate Attorney","1320","Law","DC",31-MAR-11
"S203127","2007"," "," "," "," "," ",
"S203129","2007"," "," "," "," "," ",
"S203130","2007","Game Changer Media","Director of Customer Service","1610","Other"," ",22-MAR-11
"S203131","2007","Employer Unknown","Attorney","1320","Law"," ",16-DEC-11
"S203133","2007"," "," "," "," "," ",
"S203136","2007","Wake Forest University","Graduate Student-MBA","1230","Graduate Studies","NC",01-AUG-11
"S203138","2007","Twitter Inc.","Infrastructure Engineer","1090","Computer","CA",04-FEB-10
"S203140","2007"," "," "," "," "," ",
"S203141","2007"," "," "," "," "," ",
"S203142","2007"," "," "," "," "," ",
"S203143","2007","Mount Sinai School of Medicine","PhD Student","1230","Graduate Studies","NY",19-NOV-07
"S203144","2007"," "," "," "," "," ",
"S203145","2007"," "," "," "," "," ",
"S203146","2007"," "," "," "," "," ",
"S203147","2007","Ohio State University","Student-Veterinary School","1230","Graduate Studies"," ",20-JAN-11
"S203148","2007","University of Washington","Graduate Student-Marine Policy","1190","Environment/Ecology"," ",04-OCT-11
"S203150","2007"," "," "," "," "," ",
"S203151","2007","Christ Church Episcopal School","High School English Teacher","1140","Education (Secondary)"," ",24-APR-09
"S203152","2007","St. Ignatius High School","Latin Teacher","1150","Education (Higher Education)"," ",12-OCT-10
"S203153","2007","Employer Unknown","AP Calculus & AP Statistics Teacher","1140","Education (Secondary)"," ",15-NOV-12
"S203154","2007"," "," "," "," "," ",
"S203155","2007","Cengage Learning","Assistant Editor","1460","Publishing","MA",04-FEB-09
"S203156","2007","Notre Dame","M.S. Student","1500","Research,Scientific"," ",08-DEC-10
"S203157","2007"," "," "," "," "," ",
"S203158","2007"," "," "," "," "," ",
"S203160","2007"," "," "," "," "," ",
"S203161","2007"," "," "," "," "," ",
"S203162","2007"," "," "," "," "," ",
"S203163","2007","American Baby Magazine","Assistant Editor","1460","Publishing","NY",01-MAR-11
"S203164","2007","No Employer","Researcher and Teacher","1490","Research, Other"," ",14-NOV-12
"S203166","2007","Teach for America","Middle School Teacher","1140","Education (Secondary)"," ",10-NOV-08
"S203167","2007"," "," "," "," "," ",
"S203168","2007","Lockheed Martin Corporation","Labor Relations Rep","1270","Human Resources","VA",30-AUG-12
"S203170","2007","Museum of Science and Industry","Education Department","1410","Museum Work"," ",10-FEB-11
"S203171","2007","Sibcy Cline","Realtor","1480","Real Estate","OH",27-JUN-12
"S203173","2007","Univ. of California Santa Barbara","Visiting Asst. Prof. of Mathematics","1150","Education (Higher Education)","CA",17-OCT-12
"S203175","2007"," "," "," "," "," ",
"S203176","2007","Univ. of California Sch. of Medicine","Pre-Doctoral Intern","1450","Psychology/Counseling/Therapy","CA",17-OCT-12
"S203177","2007"," "," "," "," "," ",
"S203178","2007","American Heart Association","Director of Development-NYC area","1425","Non-Profit Adminstration","NY",04-DEC-12
"S203179","2007","Emory & Henry College","Head Softball Coach","1540","Sports"," ",26-AUG-11
"S203181","2007","Cleary Gottlieb Steen & HamiltonLLP","Assistant Manager-Litigation","1320","Law","NY",30-NOV-11
"S203182","2007","Tufts University","PhD Student","1500","Research,Scientific"," ",08-FEB-11
"S203183","2007","McBee Strategic Consulting","Director","1120","Consulting","DC",26-AUG-09
"S203184","2007"," "," "," "," "," ",
"S203185","2007"," "," "," "," "," ",
"S203187","2007","Employer Unknown","Tae Kwon Do Instructor"," "," "," ",11-NOV-08
"S203188","2007"," "," "," "," "," ",
"S203189","2007","FedEx Kinko's"," ","1610","Other"," ",09-OCT-07
"S203190","2007"," "," "," "," "," ",
"S203191","2007"," "," "," "," "," ",
"S203192","2007"," "," "," "," "," ",
"S203193","2007","Mathematical Assoc. of America","Network Administrator","1425","Non-Profit Adminstration","DC",07-OCT-08
"S203194","2007"," "," "," "," "," ",
"S203195","2007"," "," "," "," "," ",
"S203196","2007"," "," "," "," "," ",
"S203198","2007","University of Virginia","Graduate Student-PhD English","1230","Graduate Studies"," ",10-MAR-10
"S203199","2007","University of Denver","Child,Family&Sch.Psyc.-PHD Prog.","1530","Social Work/Human Services","CO",13-APR-12
"S203200","2007","University of Pennsylvania","Staff","1610","Other"," ",19-APR-12
"S203201","2007"," "," "," "," "," ",
"S203203","2007","Alcovy Judicial Circuit","Law Clerk","1320","Law","GA",28-JUN-12
"S203204","2007","Stanford University","Grad. Studt-PhD History Candidate","1230","Graduate Studies","CA",17-DEC-08
"S203205","2007","Duke University","Graduate Student","1500","Research,Scientific"," ",13-AUG-12
"S203206","2007","Seattle Public Utilities","Recycling & Waste Prevention Intern","1220","Government"," ",12-SEP-12
"S203207","2007"," "," "," "," "," ",
"S203208","2007","School Unknown","Graduate Student","1230","Graduate Studies"," ",03-MAY-11
"S203209","2007"," "," "," "," "," ",
"S203211","2007"," "," "," "," "," ",
"S203215","2007"," "," "," "," "," ",
"S203216","2007"," "," "," "," "," ",
"S203217","2007","University of Chicago","Graduate Student","1230","Graduate Studies"," ",10-DEC-09
"S203218","2007","University of Texas","Graduate Student","1230","Graduate Studies"," ",09-MAR-09
"S203219","2007"," "," "," "," "," ",
"S203220","2007","Texas State University","Engineer Graduate Student","1230","Graduate Studies"," ",03-MAR-10
"S203221","2007"," "," "," "," "," ",
"S203223","2007"," "," "," "," "," ",
"S203224","2007","Medtronic Diabetes","Scientist","1170","Engineering"," ",15-FEB-10
"S203225","2007","Chicago Board of Trades"," ","1610","Other"," ",03-FEB-09
"S203227","2007","Employer Unknown"," ","1590","Veterinary/Animal Care"," ",04-NOV-09
"S203228","2007","Self Employed","Writing","1580","Writing"," ",30-OCT-08
"S203229","2007","Natl Initiative Children's Hlthcare","Project Mgr. for Marketing Services","1250","Health Care","MA",31-MAY-11
"S203230","2007","School Unknown","Montessori Teacher/Writer","1140","Education (Secondary)"," ",16-OCT-12
"S203231","2007","International Museum of Women","Intern","1410","Museum Work","CA",24-FEB-09
"S203232","2007","Employer Unknown","Television Producer","1070","Broadcast-Radio/Television","CA",21-JUN-11
"S203233","2007","Accenture"," ","1120","Consulting","VA",10-DEC-07
"S203234","2007"," "," "," "," "," ",
"S203235","2007","Nashua Public Library","Reference Librarian","1340","Library Science","NH",11-DEC-12
"S203236","2007"," "," "," "," "," ",
"S203237","2007","Common Sense Media","Communications Manager","1470","Public Relations","CA",26-MAR-12
"S203238","2007","Richland Surgical Associates","File/Scanner","1250","Health Care","OH",30-NOV-12
"S203239","2007","Friedman Kaplan Seiler Adelman LLP","Paralegal","1320","Law"," ",06-APR-10
"S203240","2007","Johns Hopkins Hospital","Registered Nurse","1430","Nursing","MD",04-DEC-09
"S203241","2007","Serco","Administrative Assistant II","1120","Consulting","CA",26-JAN-12
"S203242","2007"," "," "," "," "," ",
"S203243","2007","Council for Responsible Nutrition","Director of Communication","1100","Communications"," ",29-FEB-12
"S203244","2007"," "," "," "," "," ",
"S203245","2007"," "," "," "," "," ",
"S203246","2007","National Institutes of Health","Researcher","1500","Research,Scientific","MD",24-OCT-07
"S203247","2007","UC Berkeley","Student","1230","Graduate Studies"," ",17-JAN-12
"S203249","2007","Brooklyn Friends School","Special Events Coordinator","1425","Non-Profit Adminstration"," ",09-OCT-07
"S203250","2007","Little Tiger Press","Editorial Assistant","1460","Publishing"," ",23-NOV-10
"S203251","2007"," "," "," "," "," ",
"S203252","2007","Knox Co. Dept.of Job & Family Svcs","Parent Educator","1530","Social Work/Human Services","OH",22-FEB-11
"S203253","2007"," "," "," "," "," ",
"S203254","2007"," "," "," "," "," ",
"S203255","2007","Employer Unknown","Asst.-Retirement Community/Tutor","1610","Other"," ",08-DEC-09
"S203256","2007","Grindstone Farm","Farmer","1030","Agriculture","NY",04-OCT-07
"S203258","2007","Brunner Quinn","Attorney/Junior Associate","1320","Law","OH",24-MAY-12
"S203259","2007"," "," "," "," "," ",
"S203260","2007"," "," "," "," "," ",
"S203261","2007"," "," "," "," "," ",
"S203262","2007"," "," "," "," "," ",
"S203263","2007","Freedonia Group","Corporate Analyst","1080","Business"," ",04-OCT-07
"S203264","2007"," "," "," "," "," ",
"S203265","2007"," "," "," "," "," ",
"S203266","2007"," "," "," "," "," ",
"S203268","2007","NYU International Education Program","Graduate Student","1230","Graduate Studies"," ",27-SEP-12
"S203269","2007","Self Employed","Web Education Development","1090","Computer"," ",28-MAR-08
"S203270","2007"," "," "," "," "," ",
"S203271","2007","Sackler School of Medicine","Graduate Student","1150","Education (Higher Education)"," ",13-NOV-12
"S203272","2007"," "," "," "," "," ",
"S203273","2007"," "," "," "," "," ",
"S203275","2007","Watauga County Hospital","Health Educator for Latin","1250","Health Care"," ",25-OCT-12
"S203276","2007"," "," "," "," "," ",
"S203277","2007","St. Coletta of Greater Washington","Program Coordinator","1425","Non-Profit Adminstration"," ",16-FEB-11
"S203278","2007","Credit Agricole","Associate","1060","Banking","NY",06-JAN-12
"S203279","2007","Harvard Business School"," ","1150","Education (Higher Education)"," ",19-JAN-10
"S203280","2007"," "," "," "," "," ",
"S203281","2007"," "," "," "," "," ",
"S203284","2007"," "," "," "," "," ",
"S203285","2007"," "," "," "," "," ",
"S203286","2007"," "," "," "," "," ",
"S203287","2007","St. Anne's School of Annapolis","Teacher","1130","Education (Elementary)","MD",30-NOV-12
"S203288","2007","Northwestern Univ. School of Law","Law Student","1230","Graduate Studies"," ",10-NOV-10
"S203289","2007","North Shore Senior Center"," ","1610","Other","IL",05-DEC-11
"S203290","2007","Nat'l Institute of Standards & Tech.","Research Chemist","1500","Research,Scientific","MD",31-JAN-12
"S203293","2007","Indian Hill Middle School","8th Grade Math Teacher","1140","Education (Secondary)"," ",23-AUG-12
"S203294","2007","Organizing for America","Regional Field Director","1220","Government","FL",04-DEC-12
"S203295","2007"," "," "," "," "," ",
"S203296","2007","Univ. of Chicago Booth Sch.of Bus.","Graduate Student","1230","Graduate Studies"," ",19-OCT-12
"S203298","2007","Self Employed","Artist","1050","Arts"," ",18-JAN-12
"S203299","2007","Pacific West Artists","Actor/Director/Designer","1435","Performing Arts"," ",22-SEP-09
"S203301","2007","Wallenius Wilhemsen Logistics","Sales/Account Manager","1510","Sales","MI",06-MAY-11
"S203302","2007"," "," "," "," "," ",
"S203303","2007","Boston University","Medical Student","1230","Graduate Studies"," ",08-SEP-08
"S203304","2007","Sandusky Register","Web Developer","1310","Journalism","OH",19-AUG-08
"S203305","2007","University of Michigan","Orthopaedic Surgery Resident","1370","Medicine","MI",22-JUN-11
"S203306","2007"," "," "," "," "," ",
"S203308","2007","Cleveland State University","Graduate Student","1420","Music"," ",14-AUG-12
"S203309","2007","University of Missouri - St. Louis","Graduate Student","1230","Graduate Studies","MO",05-OCT-10
"S203310","2007","ChemStation Northeast","Account Manager","1010","Accounting"," ",04-OCT-07
"S203311","2007","Brickman","Assistant Project Manager","1610","Other"," ",22-MAR-11
"S203312","2007","Marymount Manhattan College","Dance and Theatre Admissions","1150","Education (Higher Education)"," ",21-SEP-12
"S203313","2007","VH1.com Music and Events","Production Assistant","1610","Other"," ",23-APR-12
"S203314","2007"," "," "," "," "," ",
"S203317","2007"," "," "," "," "," ",
"S203318","2007","University of Pennsylvania","Biophysics Student","1230","Graduate Studies"," ",09-OCT-07
"S203319","2007"," "," "," "," "," ",
"S203320","2007"," "," "," "," "," ",
"S203321","2007"," "," "," "," "," ",
"S203322","2007"," "," "," "," "," ",
"S203323","2007","New York University","PhD Student-Italian Studies","1230","Graduate Studies"," ",26-AUG-09
"S203324","2007","US Department of State","Foreign Service Officer","1220","Government","DC",29-JUN-11
"S203326","2007"," "," "," "," "," ",
"S203327","2007","Greater New Orleans Foundation","Communications Assistant","1425","Non-Profit Adminstration","LA",22-SEP-11
"S203331","2007"," "," "," "," "," ",
"S203332","2007","University of Virginia","Graduate Student-History","1230","Graduate Studies"," ",12-OCT-07
"S203333","2007","University of Michigan Law School","Student","1230","Graduate Studies"," ",14-NOV-08
"S203334","2007","Self Employed","Attorney","1320","Law","OH",13-JUN-11
"S203335","2007"," "," "," "," "," ",
"S203337","2007","Japan Exchange & Teaching Program","Assistant Language Teacher","1140","Education (Secondary)"," ",03-FEB-09
"S203338","2007","University of Chicago","Secretary","1150","Education (Higher Education)","IL",09-SEP-08
"S203339","2007"," "," "," "," "," ",
"S203340","2007","Council on Int'l Educ. Exchange","Support Coordinator","1290","International"," ",06-JAN-11
"S203342","2007","FullStop Collective","Artist","1435","Performing Arts"," ",15-JAN-09
"S203343","2007","WES Heath Center","Post Doctoral Intern","1250","Health Care","PA",16-JUL-12
"S203344","2007"," "," "," "," "," ",
"S203345","2007"," "," "," "," "," ",
"S203346","2007","World Savvy","Program Associate","1610","Other"," ",09-FEB-11
"S203347","2007"," "," "," "," "," ",
"S203348","2007","School Unknown","Graduate Student","1230","Graduate Studies"," ",02-JUN-11
"S203350","2007"," "," "," "," "," ",
"S203351","2007","Timberlane Farm","Horse Trainer","1610","Other","KY",17-FEB-09
"S203352","2007","The New York Review of Books"," ","1460","Publishing"," ",
"S203353","2007"," "," "," "," "," ",
"S203354","2007","C2 Education","Tutor","1140","Education (Secondary)"," ",24-JAN-11
"S203356","2007"," "," "," "," "," ",
"S203357","2007"," "," "," "," "," ",
